Project_ID,Project_Type,Land_Area_Acres,Owners,Disputes,Objections,Pending_Documents,Pending_Approvals,Compensation_Pending,Current_Stage,Days_in_Current_Stage,Total_Days,Previous_Delays,Land_Record_Complexity,Target_Delayed
P0001,Railway,173.2,16,2,4,1,0,9,Objection,23,299,2,Low,1
P0002,Industrial,66.5,18,1,2,4,1,9,Valuation,69,287,3,Medium,1
P0003,Dam,212.9,7,2,1,3,2,5,Objection,30,32,0,Low,0
P0004,Railway,276.7,10,1,4,3,0,7,Notification,46,182,2,Medium,1
P0005,Highway,150.5,18,2,1,0,3,7,Compensation,72,96,0,Medium,1
P0006,Highway,198.7,7,3,4,2,1,2,Valuation,64,89,2,Medium,1
P0007,Highway,176.1,16,0,1,1,0,7,Approval,44,263,0,Low,0
P0008,Industrial,79.4,11,3,5,1,1,7,Verification,24,145,0,High,1
P0009,Airport,273,11,3,1,7,0,3,Notification,40,215,0,Medium,1
P0010,Dam,153.1,6,2,1,5,1,12,Compensation,16,82,2,Low,0
P0011,Highway,226.8,13,1,2,1,0,9,Verification,28,34,1,Low,0
P0012,Industrial,258.1,15,1,4,1,2,5,Objection,42,285,0,Medium,0
P0013,Dam,115,15,3,0,2,1,14,Compensation,56,107,1,High,1
P0014,Highway,121,16,2,4,1,1,9,Objection,15,147,1,Medium,1
P0015,Highway,130.6,14,1,0,4,1,3,Objection,21,149,1,Medium,1
P0016,Highway,300.8,13,2,1,3,1,9,Approval,44,47,0,Low,1
P0017,Highway,90.1,15,0,3,3,1,13,Objection,43,46,0,Low,1
P0018,Railway,328.8,16,0,1,3,0,5,Verification,52,57,0,Low,0
P0019,Railway,175,16,3,4,0,1,8,Notification,5,295,0,Medium,1
P0020,Highway,182,14,1,3,3,1,6,Approval,33,122,0,Low,1
P0021,Airport,252,9,2,2,3,2,3,Notification,17,110,1,Low,1
P0022,Highway,164.2,15,1,4,1,0,3,Objection,56,80,0,Low,0
P0023,Highway,274.7,10,1,7,5,3,4,Valuation,55,23,0,High,1
P0024,Railway,114.9,10,1,4,3,1,2,Compensation,47,244,1,Medium,1
P0025,Railway,323.2,12,4,4,3,0,7,Approval,40,235,0,Low,1
P0026,Dam,120.2,13,0,3,2,1,10,Objection,52,292,1,High,1
P0027,Highway,329.8,7,1,3,1,1,9,Approval,26,113,0,Low,0
P0028,Railway,122.1,12,3,2,3,3,5,Valuation,19,285,0,Low,1
P0029,Railway,132.8,10,0,2,3,2,8,Verification,20,277,0,Low,1
P0030,Highway,83.7,14,1,3,2,0,3,Verification,44,178,1,Low,1
P0031,Airport,98,10,1,3,5,0,11,Compensation,19,30,1,Low,1
P0032,Highway,153.6,15,0,2,2,2,6,Verification,18,183,0,Medium,1
P0033,Highway,178.7,14,3,3,2,2,3,Valuation,54,35,0,Medium,1
P0034,Industrial,264,9,0,3,4,1,2,Notification,38,42,2,Medium,1
P0035,Industrial,138.3,15,2,3,1,0,6,Valuation,41,97,0,Medium,1
P0036,Dam,77.2,12,0,4,3,0,10,Valuation,27,287,1,Medium,1
P0037,Highway,193.8,10,2,3,2,0,7,Objection,44,50,0,Low,0
P0038,Highway,172.1,18,1,8,3,0,5,Verification,23,290,0,Medium,1
P0039,Airport,205.5,14,3,3,3,1,10,Approval,70,247,0,Medium,1
P0040,Railway,106.5,15,3,2,2,0,5,Compensation,61,118,0,High,0
P0041,Highway,114,11,2,4,3,0,3,Notification,32,20,1,Low,1
P0042,Railway,106.5,17,3,0,2,2,3,Approval,59,37,1,Low,1
P0043,Highway,291.5,14,2,4,2,0,4,Objection,35,184,0,Medium,1
P0044,Industrial,324.8,11,1,2,4,1,2,Objection,55,166,1,Medium,1
P0045,Highway,111.1,8,0,1,3,0,5,Notification,18,258,0,Low,0
P0046,Airport,112.4,11,2,2,4,5,4,Approval,51,255,0,Medium,1
P0047,Highway,221.2,14,0,1,6,1,7,Notification,7,275,0,Low,1
P0048,Railway,344.2,15,1,1,3,1,7,Notification,62,60,2,High,1
P0049,Railway,384.3,14,0,4,3,1,7,Verification,73,287,1,Low,1
P0050,Highway,108.2,14,0,3,0,1,9,Approval,57,89,0,Low,1
P0051,Industrial,124.5,14,4,2,5,1,5,Verification,37,297,0,Low,1
P0052,Dam,183.9,14,2,3,2,3,9,Verification,71,210,1,Low,1
P0053,Industrial,188.8,12,0,3,1,1,6,Compensation,44,37,0,Low,0
P0054,Industrial,141.3,12,3,3,4,0,5,Verification,71,101,0,Medium,1
P0055,Railway,96,19,0,5,4,2,6,Valuation,26,135,0,High,1
P0056,Industrial,153.7,13,1,4,3,0,8,Objection,73,163,2,Low,1
P0057,Highway,384.1,15,2,1,4,1,12,Objection,73,164,2,Medium,1
P0058,Highway,114.9,6,2,2,1,1,4,Valuation,57,79,0,Low,0
P0059,Highway,177.7,15,1,3,4,1,3,Notification,16,174,0,Low,1
P0060,Highway,520.8,12,4,3,1,0,7,Approval,57,298,0,Low,1
P0061,Railway,114,9,1,5,5,2,8,Approval,17,96,0,Low,1
P0062,Highway,226.8,15,2,2,0,0,6,Approval,7,21,0,Medium,0
P0063,Dam,392.9,15,3,3,2,0,6,Verification,6,196,0,Low,1
P0064,Railway,216.4,9,0,4,2,2,4,Approval,32,28,2,High,1
P0065,Highway,280.5,14,2,2,1,3,5,Approval,55,197,0,Medium,1
P0066,Railway,243.4,15,1,2,4,0,15,Approval,32,58,1,Medium,1
P0067,Highway,207.1,9,1,1,1,0,7,Objection,63,188,0,High,0
P0068,Dam,319.1,16,1,3,4,3,2,Valuation,73,28,0,High,0
P0069,Highway,223,13,1,4,2,0,3,Compensation,70,87,2,Medium,1
P0070,Industrial,142.2,12,2,6,1,0,7,Notification,57,237,0,Medium,1
P0071,Dam,170.2,14,2,2,1,1,4,Valuation,73,16,0,Low,1
P0072,Highway,192.3,19,1,5,3,0,5,Approval,44,224,0,Medium,1
P0073,Highway,124.1,14,2,4,2,1,6,Notification,31,275,2,Medium,1
P0074,Dam,174.5,5,3,7,0,1,5,Notification,37,104,1,High,1
P0075,Dam,160.9,12,2,4,3,3,8,Valuation,47,266,2,Low,1
P0076,Dam,222.6,18,2,3,1,4,9,Valuation,31,61,1,Low,1
P0077,Dam,449.4,10,3,2,0,1,9,Valuation,72,177,0,Low,1
P0078,Highway,180.2,18,1,5,6,3,5,Compensation,5,130,1,High,1
P0079,Railway,348.9,16,1,6,2,1,7,Valuation,59,93,0,Low,1
P0080,Highway,218.3,13,2,2,5,1,8,Compensation,68,22,1,Medium,1
P0081,Industrial,174.1,6,0,2,2,1,6,Verification,24,37,0,Low,0
P0082,Airport,120.1,20,2,2,4,0,4,Objection,29,283,0,Low,1
P0083,Highway,174.8,12,0,1,1,2,9,Compensation,24,293,1,Low,1
P0084,Highway,168.9,10,1,4,3,1,6,Objection,51,45,1,Medium,0
P0085,Highway,102.3,13,0,5,1,2,10,Approval,26,184,0,Low,0
P0086,Highway,112,8,1,5,0,1,6,Verification,29,144,0,Medium,0
P0087,Dam,193.2,12,1,5,2,3,4,Notification,38,171,1,High,1
P0088,Airport,347,16,2,3,1,1,6,Valuation,19,36,0,High,1
P0089,Industrial,150.8,11,1,5,1,2,6,Approval,58,140,0,Medium,1
P0090,Railway,61.3,8,2,3,3,1,5,Notification,12,183,1,Medium,1
P0091,Highway,34.6,11,1,0,1,0,4,Objection,56,180,0,Low,1
P0092,Dam,82.7,6,2,2,3,0,5,Notification,40,171,0,High,1
P0093,Dam,229.9,17,1,2,1,0,8,Valuation,6,36,0,Low,0
P0094,Railway,69.1,11,1,3,4,0,9,Valuation,52,278,0,Medium,1
P0095,Dam,249.8,9,1,3,3,1,8,Compensation,63,277,0,Low,1
P0096,Railway,223.2,13,2,4,5,0,11,Compensation,23,226,0,Low,1
P0097,Railway,147.9,14,2,4,5,1,6,Objection,38,178,1,Low,1
P0098,Railway,102.9,8,0,3,1,1,12,Valuation,48,150,2,Medium,1
P0099,Highway,136,13,1,2,3,2,10,Verification,73,266,1,Medium,1
P0100,Highway,190.6,14,0,2,2,2,8,Approval,46,219,0,Medium,1
P0101,Highway,70.5,13,4,4,2,0,3,Objection,66,256,3,Low,1
P0102,Airport,328.3,13,1,3,5,1,9,Objection,20,293,0,High,1
P0103,Highway,189.7,17,2,0,5,1,6,Notification,15,75,0,Low,0
P0104,Railway,201.6,12,1,4,2,0,9,Objection,15,109,0,Low,0
P0105,Industrial,222.3,15,0,3,0,1,3,Approval,27,162,2,Medium,0
P0106,Highway,311.4,15,0,2,4,0,6,Verification,7,273,0,High,1
P0107,Railway,175,17,4,1,3,0,2,Notification,41,44,0,Low,1
P0108,Dam,230,13,0,3,5,0,11,Approval,31,32,2,Medium,1
P0109,Highway,103.9,12,1,3,0,0,5,Compensation,59,201,0,Medium,0
P0110,Highway,385.2,13,2,2,1,1,3,Objection,48,226,0,High,1
P0111,Highway,168.5,13,0,1,2,0,5,Valuation,35,49,0,Low,0
P0112,Highway,103.6,17,0,3,1,0,3,Compensation,12,161,1,Low,0
P0113,Industrial,120.1,17,3,5,4,3,9,Valuation,60,296,1,Low,1
P0114,Dam,44,11,1,4,1,2,10,Approval,27,49,0,Low,1
P0115,Airport,119.7,16,0,3,4,5,7,Verification,41,90,0,Low,1
P0116,Industrial,28.9,9,2,4,0,1,12,Valuation,18,86,2,High,1
P0117,Dam,239.2,14,2,6,0,1,5,Approval,62,263,0,Low,1
P0118,Highway,198.3,14,3,4,3,1,6,Notification,30,71,0,High,1
P0119,Industrial,85.8,13,0,2,4,1,3,Objection,46,24,0,Low,0
P0120,Railway,152.4,15,0,2,4,1,12,Verification,60,227,1,High,1
P0121,Dam,156.3,14,0,2,3,0,6,Verification,34,251,0,Medium,1
P0122,Industrial,75.3,10,2,2,1,1,12,Notification,65,248,1,Low,1
P0123,Highway,137.7,11,1,2,2,1,7,Verification,47,237,0,Medium,1
P0124,Highway,159.1,9,1,2,1,0,4,Approval,55,118,0,Low,1
P0125,Highway,135.6,16,1,2,3,2,4,Verification,63,112,2,Low,1
P0126,Railway,103.5,7,1,1,3,1,5,Verification,52,240,1,Low,1
P0127,Dam,83.8,9,1,2,3,0,3,Verification,29,236,2,Low,1
P0128,Industrial,132.8,10,0,1,0,1,8,Approval,28,294,1,Medium,1
P0129,Highway,111.1,18,0,4,1,2,8,Compensation,5,57,1,Medium,1
P0130,Railway,214.3,10,1,1,0,1,5,Objection,41,167,1,Low,0
P0131,Railway,321.7,14,3,4,2,1,10,Valuation,67,238,1,High,1
P0132,Highway,256.4,9,0,2,4,0,7,Compensation,37,133,0,High,1
P0133,Highway,162.1,11,0,1,2,2,4,Verification,55,228,3,Low,1
P0134,Highway,105.9,10,1,4,3,1,9,Notification,48,67,2,Low,1
P0135,Industrial,252.7,19,0,4,4,2,7,Notification,70,234,1,Low,1
P0136,Highway,221.4,13,0,4,2,0,9,Approval,24,257,0,Medium,0
P0137,Railway,309.7,9,1,2,3,1,7,Objection,62,67,0,Low,1
P0138,Dam,175.1,12,2,2,3,1,2,Verification,8,131,0,Low,0
P0139,Railway,374.4,12,0,2,3,1,9,Approval,54,56,0,Medium,1
P0140,Industrial,175.2,9,0,2,1,1,1,Valuation,31,261,0,Medium,1
P0141,Industrial,105.6,10,5,2,2,3,7,Objection,45,262,0,Low,1
P0142,Highway,117.4,13,1,5,1,2,3,Objection,36,115,0,High,1
P0143,Railway,208.8,19,0,1,0,0,5,Approval,33,101,1,Medium,0
P0144,Highway,110.9,13,0,1,2,4,4,Compensation,48,98,2,Low,1
P0145,Highway,373,12,3,5,1,2,5,Notification,6,275,1,Medium,1
P0146,Highway,199.4,9,0,3,7,2,4,Compensation,4,235,0,Low,1
P0147,Airport,160.1,12,2,2,1,2,2,Objection,7,168,1,Medium,1
P0148,Railway,167.7,8,1,4,2,1,3,Notification,48,65,2,Low,1
P0149,Highway,134.7,11,1,2,2,3,7,Objection,21,52,2,Low,1
P0150,Highway,52.1,12,1,3,5,0,0,Objection,40,273,1,Low,1
P0151,Industrial,117.4,12,2,3,2,0,9,Objection,61,201,0,Low,1
P0152,Highway,348.3,10,1,4,2,1,5,Valuation,74,27,0,Medium,1
P0153,Highway,177.8,12,0,4,0,1,4,Notification,22,237,0,Medium,1
P0154,Railway,272.2,13,2,2,1,1,3,Valuation,70,101,0,Low,0
P0155,Industrial,276.4,10,1,2,0,1,7,Notification,55,273,1,Low,1
P0156,Highway,153.2,10,1,1,4,0,3,Valuation,57,195,2,Medium,1
P0157,Airport,223.4,15,3,6,1,1,3,Valuation,41,187,0,Low,1
P0158,Dam,55.8,10,2,4,4,1,6,Valuation,38,209,1,Low,1
P0159,Highway,333.3,22,2,3,3,5,8,Approval,60,259,2,Medium,1
P0160,Dam,318.8,15,4,2,2,1,5,Valuation,17,210,1,High,1
P0161,Railway,205.7,11,3,2,2,2,5,Compensation,3,76,1,High,0
P0162,Airport,181.3,7,0,2,3,2,7,Compensation,11,39,0,Medium,0
P0163,Airport,154.4,10,2,5,3,2,5,Objection,25,66,2,Low,1
P0164,Railway,289.2,9,1,1,2,2,5,Verification,54,64,1,Medium,1
P0165,Highway,237.5,19,1,3,3,1,3,Valuation,28,66,4,Low,1
P0166,Dam,20.8,7,1,1,3,2,10,Verification,62,54,1,Low,1
P0167,Highway,126.5,14,3,1,5,0,4,Verification,20,246,0,Medium,1
P0168,Highway,77.3,13,0,7,0,1,7,Objection,60,74,2,Medium,1
P0169,Highway,68.4,13,1,6,1,2,6,Verification,67,230,0,Low,1
P0170,Railway,287.6,6,4,1,3,1,4,Verification,71,211,0,Low,1
P0171,Airport,152.5,10,1,5,3,3,7,Compensation,16,290,0,Medium,1
P0172,Highway,203.8,12,2,3,1,4,6,Verification,48,16,0,High,1
P0173,Railway,163.7,19,2,2,0,2,3,Notification,71,120,2,Medium,1
P0174,Highway,69,15,1,3,1,1,12,Valuation,34,230,1,Low,1
P0175,Airport,56.6,9,1,3,3,0,8,Valuation,53,279,2,High,1
P0176,Highway,121.5,11,4,4,1,0,3,Verification,71,181,2,Medium,1
P0177,Airport,127.5,17,2,6,4,0,8,Objection,17,261,1,Medium,1
P0178,Railway,127.5,16,2,3,1,1,6,Notification,55,224,3,Low,1
P0179,Industrial,129.6,11,2,3,1,0,7,Objection,73,72,0,Low,0
P0180,Highway,433.4,11,3,5,2,0,5,Objection,71,57,0,Low,1
P0181,Highway,270,12,2,0,3,0,7,Verification,17,152,0,Low,0
P0182,Highway,179.2,8,1,5,3,0,10,Approval,32,123,0,Low,1
P0183,Industrial,150.3,18,2,2,1,4,4,Verification,26,62,1,Medium,1
P0184,Industrial,153.3,16,1,1,3,0,4,Compensation,37,140,1,Low,1
P0185,Highway,232.8,19,2,4,2,0,5,Approval,71,228,0,High,1
P0186,Airport,149.5,14,2,4,3,1,5,Notification,14,142,0,Low,0
P0187,Dam,255.3,18,2,5,3,1,5,Approval,48,212,0,Medium,1
P0188,Railway,190,11,2,2,3,0,14,Verification,71,216,0,Medium,1
P0189,Railway,435.6,8,2,2,3,5,10,Verification,38,206,0,Medium,1
P0190,Highway,144.5,13,1,4,5,1,7,Objection,50,121,2,Low,1
P0191,Highway,280.4,16,0,4,5,2,6,Verification,69,208,1,Medium,1
P0192,Industrial,81.7,15,2,3,4,3,2,Compensation,56,252,1,High,1
P0193,Industrial,107.5,8,0,1,1,2,3,Verification,38,146,0,High,1
P0194,Airport,404.5,14,0,1,4,0,9,Valuation,54,97,0,Medium,1
P0195,Highway,249.5,23,2,1,2,1,8,Valuation,24,298,0,Medium,1
P0196,Highway,205.8,11,1,1,1,1,3,Objection,40,236,2,Low,1
P0197,Dam,495.7,6,0,4,2,2,7,Approval,64,120,0,High,1
P0198,Industrial,151.6,12,0,3,2,0,7,Approval,67,80,1,High,1
P0199,Industrial,280.1,14,1,4,7,1,4,Valuation,5,209,2,Medium,1
P0200,Dam,291.2,14,1,3,4,2,8,Compensation,10,202,2,Medium,1
P0201,Airport,357.7,13,3,3,2,2,10,Notification,41,61,0,Medium,1
P0202,Highway,75.9,11,2,3,3,0,12,Compensation,20,39,2,Low,0
P0203,Highway,151,11,1,0,3,0,5,Valuation,5,80,1,High,1
P0204,Industrial,188.2,7,1,6,5,2,6,Compensation,20,81,0,Medium,1
P0205,Airport,354.6,13,4,4,4,1,7,Notification,3,211,0,Medium,1
P0206,Highway,201.3,10,2,1,1,2,6,Approval,28,260,1,Medium,1
P0207,Highway,291.5,12,1,6,2,2,6,Valuation,54,114,1,High,1
P0208,Airport,71.7,11,1,1,2,2,4,Verification,14,192,1,Medium,1
P0209,Highway,131.5,15,1,3,3,0,7,Notification,40,129,0,Low,1
P0210,Highway,318.2,12,0,6,3,1,3,Notification,43,182,2,Medium,1
P0211,Railway,141.7,14,3,3,6,2,6,Notification,55,133,1,High,1
P0212,Airport,158.1,6,2,1,0,1,5,Approval,15,179,0,Medium,0
P0213,Airport,351.5,8,0,4,2,3,4,Compensation,15,233,1,High,1
P0214,Highway,93,20,5,1,2,2,2,Objection,20,211,0,High,1
P0215,Dam,106.4,7,0,4,2,3,6,Verification,21,251,0,Medium,1
P0216,Highway,67,13,1,5,5,0,8,Valuation,21,183,2,Low,1
P0217,Highway,359.1,14,3,1,0,1,7,Compensation,72,90,1,Low,1
P0218,Dam,267.3,10,1,2,2,1,2,Notification,50,47,0,Medium,0
P0219,Airport,263.7,11,2,5,1,0,11,Approval,73,244,1,Low,1
P0220,Dam,129.4,15,2,9,4,0,9,Notification,73,209,0,Medium,1
P0221,Airport,63.9,7,1,5,1,2,6,Compensation,30,292,1,Medium,1
P0222,Railway,53,9,3,4,2,1,7,Valuation,21,244,1,Low,1
P0223,Highway,319.4,17,1,4,1,3,8,Verification,50,110,0,Medium,1
P0224,Railway,213.4,12,2,4,4,1,7,Notification,31,185,0,Medium,1
P0225,Highway,235.9,18,2,3,1,4,3,Approval,50,46,1,Low,1
P0226,Highway,183.4,10,2,2,2,1,6,Approval,21,59,0,Low,0
P0227,Industrial,98.8,10,0,2,4,1,6,Objection,49,86,0,High,0
P0228,Railway,132.9,14,1,7,3,3,6,Approval,62,34,1,Low,1
P0229,Industrial,84.6,12,4,4,6,0,8,Objection,50,253,1,Low,1
P0230,Airport,78.2,13,0,3,4,1,7,Verification,22,213,2,Low,1
P0231,Dam,255.6,12,1,1,0,3,8,Valuation,21,79,3,Low,1
P0232,Railway,56,17,0,1,1,0,1,Objection,44,202,2,Medium,0
